name,brewery,style,abv,hops,malts,flavours
Beavertown Neck Oil,Beavertown,Session IPA,4.3,"Mosaic;Columbus","Pale;Caramalt","Citrus;Tropical;Pine"
Beavertown Gamma Ray,Beavertown,American Pale Ale,5.4,"Columbus;Bravo;Amarillo;Citra","Pale;Vienna","Tropical;Mango;Citrus"
Beavertown Lazer Crush,Beavertown,Hazy IPA,4.5,"Citra;Mosaic;El Dorado","Pale;Oats;Wheat","Tropical;Juicy;Citrus"
BrewDog Punk IPA,BrewDog,IPA,5.4,"Ahtanum;Chinook;Citra;Mosaic;Simcoe","Extra Pale","Grapefruit;Pine;Tropical"
BrewDog Elvis Juice,BrewDog,Grapefruit IPA,6.5,"Amarillo;Citra;Mosaic;Simcoe","Extra Pale;Caramalt","Grapefruit;Orange;Pine"
BrewDog Hazy Jane,BrewDog,New England IPA,5.0,"Citra;Mosaic","Pale;Oats;Wheat","Juicy;Tropical;Soft"
Vocation Life & Death,Vocation,IPA,6.5,"Citra;Mosaic","Pale;Wheat","Mango;Citrus;Pine"
Vocation Heart & Soul,Vocation,Session IPA,4.4,"Citra;Mosaic","Pale;Wheat","Citrus;Tropical;Light"
Vocation Bread & Butter,Vocation,Amber Ale,3.9,"Cascade;Centennial","Pale;Crystal","Caramel;Biscuit;Citrus"
Tiny Rebel Clwb Tropica,Tiny Rebel,Tropical IPA,5.5,"Citra;Mosaic","Pale","Pineapple;Mango;Passionfruit"
Tiny Rebel Easy Livin',Tiny Rebel,Session IPA,4.3,"Citra;Mosaic","Pale","Citrus;Light;Juicy"
Northern Monk Faith,Northern Monk,Hazy Pale Ale,5.4,"Citra;Mosaic","Pale;Oats","Juicy;Orange;Tropical"
Northern Monk Heathen,Northern Monk,IPA,7.2,"Citra;Mosaic;Simcoe","Pale","Resin;Tropical;Pine"
Thornbridge Jaipur,Thornbridge,IPA,5.9,"Centennial;Chinook;Ahtanum;Simcoe;Columbus","Maris Otter","Grapefruit;Pine;Floral"
Thornbridge Green Mountain,Thornbridge,Session IPA,4.3,"Citra;Mosaic","Pale","Tropical;Citrus;Fresh"
Siren Lumina,Siren,Session IPA,4.2,"Citra;Mosaic;Azacca","Pale;Oats","Lime;Mango;Juicy"
Siren Soundwave,Siren,IPA,5.6,"Citra;Simcoe;Columbus","Pale","Citrus;Pine;Resin"
Magic Rock Saucery,Magic Rock,Session IPA,3.9,"Citra;Mosaic","Pale","Lemon;Light;Tropical"
Magic Rock High Wire,Magic Rock,Pale Ale,5.5,"Citra;Mosaic;Centennial","Pale","Pine;Citrus;Biscuit"
Buxton Axe Edge,Buxton,IPA,6.8,"Citra;Mosaic;Simcoe","Pale","Juicy;Pine;Tropical"
Five Points Pale,Five Points,Pale Ale,4.4,"Cascade;Centennial","Pale","Citrus;Floral;Balanced"
The Kernel Citra Pale Ale,The Kernel,Pale Ale,5.2,"Citra","Pale","Citrus;Lime;Fresh"
Verdant Lightbulb,Verdant,Extra Pale Ale,4.5,"Mosaic;Citra","Pale;Oats","Juicy;Soft;Tropical"
Cloudwater Pale Ale,Cloudwater,Pale Ale,4.5,"Mosaic;Citra","Pale;Oats","Orange;Peach;Juicy"
Track Sonoma,Track,Pale Ale,3.8,"Citra;Mosaic","Pale","Citrus;Light;Juicy"
