name,brewery,style,abv,hops,malts,flavours
Beavertown Gamma Ray,Beavertown,American Pale Ale,5.4,Columbus;Bravo;Amarillo;Citra,Pale;Vienna,Tropical;Mango;Citrus
Beavertown Neck Oil,Beavertown,Session IPA,4.3,Amarillo;Centennial;Chinook;Columbus,Pale;Caramalt,Citrus;Tropical;Pine
Beavertown Lazer Crush,Beavertown,Hazy IPA,4.5,Citra;Mosaic;El Dorado,Pale;Oats;Wheat,Tropical;Juicy;Citrus
Beavertown Bloody 'Ell,Beavertown,Blood Orange IPA,5.5,Amarillo;Centennial;Citra,Pale;Vienna,Blood Orange;Citrus;Pine
Beavertown Lupuloid IPA,Beavertown,IPA,6.7,Citra;Chinook;Mosaic;Amarillo,Pale;Caramalt,Grapefruit;Pine;Resin
Beavertown Nanobot,Beavertown,Session Pale Ale,2.8,Citra;Amarillo,Pale;Oats,Citrus;Light;Juicy
BrewDog Punk IPA,BrewDog,IPA,5.4,Ahtanum;Chinook;Citra;Mosaic;Simcoe,Extra Pale,Grapefruit;Pine;Tropical
BrewDog Hazy Jane,BrewDog,New England IPA,5,Citra;Mosaic;Amarillo;Simcoe,Pale;Oats;Wheat,Juicy;Tropical;Soft
BrewDog Elvis Juice,BrewDog,Grapefruit IPA,6.5,Amarillo;Citra;Mosaic;Simcoe,Extra Pale;Caramalt,Grapefruit;Orange;Pine
BrewDog Dead Pony Club,BrewDog,Session Pale Ale,3.8,Cascade;Centennial;Simcoe;Amarillo,Extra Pale,Citrus;Lime;Light
BrewDog Jack Hammer,BrewDog,IPA,7.2,Columbus;Centennial;Simcoe;Amarillo,Extra Pale,Grapefruit;Resin;Bitter
BrewDog 5AM Saint,BrewDog,Amber Ale,5,Amarillo;Cascade;Centennial;Simcoe,Munich;Crystal;Caramalt,Caramel;Citrus;Toffee
BrewDog Lost Lager,BrewDog,Lager,4.7,Mittelfruh;Cascade,Pilsner,Crisp;Bready;Floral
Buxton Axe Edge,Buxton,IPA,6.8,Citra;Mosaic;Simcoe,Pale,Juicy;Pine;Tropical
